,Feature,Count,% of Missing,Card.,Mode,Mode Freq.,Mode %,2nd Mode,2nd Mode Freq.,2nd Mode Perc
0,STARTDATE,1211,0.00%,590,6/3/2020 1...,19,1.57%,6/3/2020 1...,13,1.07%
1,ENDDATE,1211,0.00%,735,6/3/2020 1...,9,0.74%,6/3/2020 1...,7,0.58%
2,FINISHED,1211,0.00%,1,True,1211,100.00%,,,
3,RECORDEDDATE,1211,0.00%,733,6/3/2020 1...,9,0.74%,6/3/2020 1...,7,0.58%
4,DISTRIBUTIONCHANNEL,1211,0.00%,1,anonymous,1211,100.00%,,,
5,USERLANGUAGE,1211,0.00%,1,EN,1211,100.00%,,,
6,ARM,1211,0.00%,3,0,438,36.17%,1,391,32.29%
7,CONSENT,1211,0.00%,1,"Yes, I con...",1211,100.00%,,,
8,COMPREHENSION1_ARM1,382,68.46%,2,Coronaviru...,358,29.56%,Hotel felt...,24,1.98%
9,COMPREHENSION1_ARM2,382,68.46%,2,He had emp...,325,26.84%,His state ...,57,4.71%
10,COMPREHENSION2_ARM1,391,67.71%,2,Hotel felt...,283,23.37%,He was dis...,108,8.92%
11,COMPREHENSION2_ARM2,391,67.71%,2,He had emp...,307,25.35%,His state ...,84,6.94%
12,HR1,1211,0.00%,1,nan,1211,100.00%,,,
13,HR2_1,1211,0.00%,6,Very Posit...,333,27.50%,Somewhat P...,288,23.78%
14,HR2_2,1211,0.00%,6,Somewhat P...,286,23.62%,Very Posit...,272,22.46%
15,HR2_3,1211,0.00%,6,Very Posit...,404,33.36%,Somewhat P...,365,30.14%
16,HR2_4,1211,0.00%,6,Somewhat P...,373,30.80%,Very Posit...,347,28.65%
17,HR2_5,1211,0.00%,6,Very Posit...,354,29.23%,Somewhat P...,318,26.26%
18,HR3,1211,0.00%,5,Very satis...,481,39.72%,Somewhat s...,437,36.09%
19,HR4,1211,0.00%,5,Good,420,34.68%,Excellent,295,24.36%
20,HR5,1211,0.00%,5,Very satis...,422,34.85%,Somewhat s...,417,34.43%
21,HR6,1211,0.00%,5,Poor,325,26.84%,Good,308,25.43%
22,HR7_1,1211,0.00%,5,Strongly F...,380,31.38%,Favor,377,31.13%
23,HR7_2,1211,0.00%,5,Favor,375,30.97%,Strongly F...,302,24.94%
24,HR7_3,1211,0.00%,5,Favor,358,29.56%,Strongly F...,280,23.12%
25,HR7_4,1211,0.00%,5,Favor,445,36.75%,Strongly F...,330,27.25%
26,HR8,1211,0.00%,5,Strongly f...,442,36.50%,Somewhat f...,372,30.72%
27,HR10,298,75.39%,286,Idk,5,0.41%,No,4,0.33%
28,HR11,1209,0.17%,4,Creating a...,534,44.10%,Incrementa...,449,37.08%
29,HR11_6_TEXT,34,97.19%,34,People sho...,1,0.08%,Really clo...,1,0.08%
30,HR12_1,1211,0.00%,3,Mostly Pos...,756,62.43%,Mostly Neg...,257,21.22%
31,HR12_2,1211,0.00%,3,Mostly Pos...,704,58.13%,Mostly Neg...,321,26.51%
32,HR12_3,1211,0.00%,3,Mostly Pos...,678,55.99%,Mostly Neg...,268,22.13%
33,HR12_4,1211,0.00%,3,Mostly Pos...,601,49.63%,Mostly Neg...,387,31.96%
34,HR12_5,1211,0.00%,3,Mostly Pos...,746,61.60%,Mostly Neg...,258,21.30%
35,HR13,1211,0.00%,6,No,586,48.39%,"Yes, someb...",218,18.00%
36,HR14,1211,0.00%,9,Private he...,427,35.26%,Private he...,202,16.68%
37,HR14_10_TEXT,8,99.34%,8,Nothing ,1,0.08%,Federal ci...,1,0.08%
38,COVID_HR1,726,40.05%,2,"Some- i.e,...",507,41.87%,All,219,18.08%
39,COVID_HR2,807,33.36%,4,C.	A combi...,450,37.16%,B.	Health ...,267,22.05%
40,COVID_HR2_11_TEXT,11,99.09%,11,People hav...,1,0.08%,Nothing ,1,0.08%
41,COVID_HR3,1211,0.00%,3,"Yes, I am ...",657,54.25%,Has not af...,333,27.50%
42,STIMULUS1,1211,0.00%,72,Nothing ch...,375,30.97%,Work from ...,346,28.57%
43,STIMULUS2,1211,0.00%,3,No,610,50.37%,"Yes, someo...",333,27.50%
44,STIMULUS3,1211,0.00%,4,Adequate,509,42.03%,Not adequa...,312,25.76%
45,STIMULUS4,1211,0.00%,4,Adequate,499,41.21%,Not adequa...,320,26.42%
46,STIMULUS5,1211,0.00%,30,"Yes, check...",605,49.96%,No,278,22.96%
47,STIMULUS5_8_TEXT,18,98.51%,17,Direct Dep...,2,0.17%,My husband...,1,0.08%
48,STIMULUS6,1211,0.00%,5,More direc...,384,31.71%,More stimu...,340,28.08%
49,STIMULUS6_7_TEXT,45,96.28%,44,Unsure,2,0.17%,Another st...,1,0.08%
50,POLICY1,1211,0.00%,3,A little ï...,523,43.19%,Not at all...,453,37.41%
51,POLICY2,1211,0.00%,3,Very conce...,461,38.07%,Somewhat c...,445,36.75%
52,POLICY3,1211,0.00%,3,Coronaviru...,649,53.59%,The diseas...,313,25.85%
53,POLICY4,1211,0.00%,2,People sho...,628,51.86%,While Coro...,583,48.14%
54,POLICY5,1211,0.00%,351,Issue a st...,131,10.82%,Encourage ...,88,7.27%
55,POLICY5_13_TEXT,36,97.03%,36,Use your b...,1,0.08%,DO NOTHING...,1,0.08%
56,POLICY6,1211,0.00%,264,Encourage ...,132,10.90%,Issue a st...,112,9.25%
57,POLICY6_10_TEXT,35,97.11%,35,DO NOTHING...,1,0.08%,Do nothing...,1,0.08%
58,PERSONAL1,1211,0.00%,59,Staying ho...,205,16.93%,Working fr...,179,14.78%
